SurveilancePlace,Department,MonitorDate,Rate_Wave
YS,Suburb,20130118,1.5
YS,Suburb,20130119,1.82
YS,Suburb,20130120,2.75
YS,Suburb,20130121,1.44
YS,Suburb,20130122,1.76
YS,Suburb,20130123,1.54
YS,Suburb,20130124,1.49
YS,Suburb,20130125,1.55
YS,Suburb,20130126,1.5
YS,Suburb,20130127,1.58
YS,Suburb,20130128,1.62
YS,Suburb,20130129,1.64
YS,Suburb,20130130,1.7
YS,Suburb,20130131,1.51
YS,Suburb,20130201,1.43
YS,Suburb,20130202,1.67
YS,Suburb,20130203,1.55
YS,Suburb,20130204,1.93
YS,Suburb,20130205,1.46
YS,Suburb,20130206,1.57
YS,Suburb,20130207,1.54
YS,Suburb,20130208,1.83
YS,Suburb,20130209,1.6
YS,Suburb,20130210,1.55
YS,Suburb,20130211,1.64
YS,Suburb,20130212,1.48
YS,Suburb,20130213,1.64
YS,Suburb,20130214,1.49
YS,Suburb,20130215,1.57
YS,Suburb,20130216,1.8
YS,Suburb,20130217,1.6
YS,Suburb,20130218,1.45
YS,Suburb,20130219,1.49
YS,Suburb,20130220,1.65
YS,Suburb,20130221,1.68
YS,Suburb,20130222,1.56
YS,Suburb,20130223,1.75
YS,Suburb,20130224,1.5
YS,Suburb,20130225,1.44
YS,Suburb,20130226,1.7
YS,Suburb,20130227,1.62
YS,Suburb,20130228,1.57
YS,Suburb,20130301,1.6
YS,Suburb,20130302,1.52
YS,Suburb,20130303,1.45
YS,Suburb,20130304,1.43
YS,Suburb,20130305,1.58
YS,Suburb,20130306,1.43
YS,Suburb,20130307,1.92
YS,Suburb,20130308,1.59
YS,Suburb,20130309,1.4
YS,Suburb,20130310,1.46
YS,Suburb,20130311,1.47
YS,Suburb,20130312,1.46
YS,Suburb,20130313,1.59
YS,Suburb,20130314,1.69
YS,Suburb,20130315,1.29
YS,Suburb,20130316,1.53
YS,Suburb,20130317,1.44
YS,Suburb,20130318,1.24
YS,Suburb,20130319,1.48
YS,Suburb,20130320,1.41
YS,Suburb,20130321,1.58
YS,Suburb,20130322,1.51
YS,Suburb,20130323,1.96
YS,Suburb,20130324,1.43
